accession,gene_name,condition,condition_label,mean_abundance,cv_pct,log2fc,detected,hcp_risk,abundance_rank
G3IPN9,UNKNOWN,control,Control (Standard),28838.747043333336,4.9,,3,Medium,143
G3I1Q8,OSGEP,control,Control (Standard),10103.570514433333,28.46,,3,Medium,322
G3HGH1,UNKNOWN,control,Control (Standard),2705.493362966667,23.99,,3,Medium,426
G3IC82,LOC100769148,control,Control (Standard),11446.329944333333,11.77,,3,Medium,298
G3HRP2,CNPY2,control,Control (Standard),3148.281718216667,80.48,,3,Medium,416
G3I5G7,GCM1,control,Control (Standard),9410.609206,11.11,,3,Medium,252
G3HRZ4,UNKNOWN,control,Control (Standard),4322.195269333333,21.49,,3,Medium,447
G3HPQ3,UNKNOWN,control,Control (Standard),17314.277808333332,5.1,,3,Medium,189
G3H078,ZBTB20,control,Control (Standard),15895.196190333334,10.39,,3,Medium,141
G3I644,UNKNOWN,control,Control (Standard),14791.856693333335,34.31,,3,Medium,250
G3IM21,UNKNOWN,control,Control (Standard),3151.0251681466666,85.23,,3,Medium,527
G3HLZ7,AARSD1,control,Control (Standard),5577.833578859999,155.92,,3,Medium,288
G3I6V7,ZBTB9,control,Control (Standard),10437.081169666666,17.47,,3,Medium,208
G3HLP2,UNKNOWN,control,Control (Standard),13462.490541076666,86.94,,3,Medium,272
G3HNJ3,CLUS,control,Control (Standard),21.389682351999998,23.96,,3,Medium,777
G3IBF4,HTRA1,control,Control (Standard),89.14996823333335,36.38,,3,Medium,704
G3H0L9,CATB,control,Control (Standard),59.70870348333333,25.58,,3,Medium,713
G3I8R9,HSPA5,control,Control (Standard),1171.7707722666667,9.17,,3,High,396
G3HPV7,H4,control,Control (Standard),260.66100950000003,5.74,,3,Medium,511
G3I6E6,ACTB,control,Control (Standard),2.7497303116666667,22.63,,3,Medium,909
G3ID82,ACTBL,control,Control (Standard),1.827661652,33.14,,3,Medium,932
G3I501,LOC103161507,control,Control (Standard),114.23711412666667,6.5,,3,Medium,906
G3IE25,CLTA,control,Control (Standard),1.4987562710000002,6.18,,3,Medium,943
G3HAC6,TTN,control,Control (Standard),2802.761485333333,2.77,,3,Trace,384
G3HMG1,RS13,control,Control (Standard),0.500628373,63.06,,3,Medium,1022
G3GTJ3,GAPDH,control,Control (Standard),26.321768663,21.13,,3,High,840
G3HDU8,LOC100754683,control,Control (Standard),159.97267599666668,9.06,,3,Medium,594
G3GXZ2,LBP,control,Control (Standard),919.1615996666666,20.69,,3,Trace,519
G3H3E6,TIMP2,control,Control (Standard),53.900867739999995,4.01,,3,Medium,893
G3HUW8,RS4X,control,Control (Standard),1.6279354533333332,64.23,,3,Medium,1118
G3HHB8,NMD3,control,Control (Standard),19.246242759,6.65,,3,Medium,821
G3GU30,LOC100770677,control,Control (Standard),2.507227991666667,25.57,,3,Medium,1062
G3HEV6,BIRC6,control,Control (Standard),9885.550722333333,7.66,,3,Low,129
G3HIM1,HSPG2,control,Control (Standard),3027.724782,6.79,,3,Trace,335
G3H6L8,CEP170,control,Control (Standard),6681.743381666667,2.68,,3,Low,224
G3HLK3,GRN,control,Control (Standard),18.488764093,22.34,,3,Medium,1005
G3IK05,MFGM,control,Control (Standard),0.339375859,55.28,,3,Medium,939
G3ICD3,MFGM,control,Control (Standard),10.494768872,19.65,,3,Medium,867
G3GYP9,PRDX1,control,Control (Standard),8.511119931666668,16.24,,3,Medium,991
G3HKK4,RAI2,control,Control (Standard),996.0567108333333,88.39,,3,Trace,503
G3HSG3,TENA,control,Control (Standard),2267.9159569333333,32.19,,3,Low,290
G3HPI0,LOC100760991,control,Control (Standard),7.9669583909999995,33.12,,3,Medium,1044
G3I196,RPL14,control,Control (Standard),126.15736021999999,9.03,,3,Medium,989
G3HZW3,RPL18,control,Control (Standard),2.176171936,107.42,,3,Medium,960
G3GY47,RPL26,control,Control (Standard),0.6170581573333332,59.77,,3,Medium,1065
G3ILU1,LOC100774652,control,Control (Standard),0.5988360803333332,70.38,,3,Medium,1100
